TemplateID,TemplateName,TemplateSynonyms,TemplateSource,TemplateType,TemplateSequence,TemplateStructure,TemplateComments
290,Apoptosis regulator Bcl-2,NULL,Homo sapiens (Human):9606,Protein>Others,P10415,"1G5M, 1GJH, 1YSW, 2O21, 2O22, 2O2F, 2W3L, 2XA0, 4AQ3",NULL
291,Transcriptional repressor NF-X1,"Nuclear transcription factor, X box-binding protein 1",Homo sapiens (Human):9606,Protein>Others,Q12986,NULL,NULL
292,"Human immunodeficiency virus type 1, HIV-1",NULL,Human immunodeficiency virus type 1:11676,Virus,NULL,NULL,NULL
293,Extracellular domain of HER-2,"HER-2 alternative name(s):
Receptor tyrosine-protein kinase erbB-2
Epidermal growth factor receptor-related protein
Proto-oncogene Neu
Proto-oncogene c-ErbB-2
p185erbB2
CD_antigen=CD340
EC=2.7.10.1",Rattus norvegicus (Rat):10116,Protein>Enzyme,P06494 [23-654],"1IIJ, 1N8Y",NULL
294,Receptor tyrosine-protein kinase erbB-2,"Epidermal growth factor receptor-related protein
Proto-oncogene Neu
Proto-oncogene c-ErbB-2
p185erbB2
CD_antigen=CD340
EC=2.7.10.1",Rattus norvegicus (Rat):10116,Protein>Enzyme,P06494,"1IIJ, 1N8Y",NULL
295,Microtubule-associated proteins (MAPs),NULL,Bos taurus (Bovine):9913,Protein>Others,NULL,NULL,NULL
296,T-cell differentiation antigen CD6,"T12
TP120
CD_antigen=CD6",Homo sapiens (Human):9606,Protein>Others,P30203,NULL,NULL
297,Peptidase 1,"Allergen Der p I
Major mite fecal allergen Der p 1
Allergen=Der p 1
EC=3.4.22.65",Dermatophagoides pteronyssinus (European house dust mite):6956,Protein>Enzyme,P08176,"1XKG, 2AS8, 3RVW, 3RVX",NULL
298,Mite group 2 allergen Der p 2,"Allergen Der p II
DPX
Allergen=Der p 2",Dermatophagoides pteronyssinus (European house dust mite):6956,Protein>Others,P49278,"1A9V, 1KTJ",NULL
299,"Serotransferrin, Transferrin","Beta-1 metal-binding globulin
Siderophilin",Homo sapiens (Human):9606,Protein>Others,P02787,"1A8E, 1A8F, 1B3E, 1BP5, 1BTJ, 1D3K, 1D4N, 1DTG, 1FQE, 1FQF, 1JQF, 1N7W, 1N7X, 1N84, 1OQG, 1OQH, 1RYO, 1SUV, 2HAU, 2HAV, 2O7U, 2O84, 3FGS, 3QYT, 3S9L, 3S9M, 3S9N, 3SKP, 3V83, 3V89, 3V8X, 3VE1, 4H0W",NULL
300,Escherichia coli K1 bacteria,NULL,Escherichia coli:562,Cell,NULL,NULL,NULL
301,Major allergen Pru av 1,"Allergen Pru a 1
Allergen=Pru av 1",Prunus avium (Cherry):42229,Protein>Others,O24248,"1E09, 1H2O",NULL
302,Stress-induced protein SAM22,"Starvation-associated message 22
Allergen=Gly m 4",Glycine max (Soybean) (Glycine hispida):3847,Protein>Others,P26987,2K7H,NULL
303,Ara h 8 allergen,NULL,Arachis hypogaea (Peanut):3818,Protein>Others,Q6VT83,NULL,NULL
304,"fMet-Leu-Phe receptor, fMLP receptor","N-formyl peptide receptor, FPR
N-formylpeptide chemoattractant receptor",Homo sapiens (Human):9606,Protein>Receptor,P21462,NULL,NULL
305,"Surface protein gp120, SU","Glycoprotein 120, gp120",Human immunodeficiency virus type 1 group M subtype B (isolate ARV2/SF2) (HIV-1):11685,Protein>Others,P03378 [32-509],NULL,NULL
306,Rhodopsin,NULL,Bos taurus (Bovine):9913,Protein>Others,P02699,"1EDS, 1EDV, 1EDW, 1EDX, 1F88, 1FDF, 1GZM, 1HZX, 1JFP, 1L9H, 1LN6, 1NZS, 1U19, 1VQX, 2G87, 2HPY, 2I35, 2I36, 2I37, 2J4Y, 2PED, 2X72, 3C9L, 3C9M, 3CAP, 3DQB, 3OAX, 3PQR, 3PXO, 4A4M, 4BEY, 4BEZ",NULL
307,"Major outer membrane porin, MOMP",NULL,Chlamydia pneumoniae (Chlamydophila pneumoniae):83558,Protein>Others,P27455,NULL,NULL
308,"Poly-α 2-8 sialic acid, PSA",NULL,Neisseria meningitidis serogroup B:491,Organic molecules or materials,NULL,NULL,NULL
309,Tumor necrosis factor,"Cachectin
TNF-alpha
Tumor necrosis factor ligand superfamily member 2, TNF-α",Homo sapiens (Human):9606,Protein>Others,P01375,"1A8M, 1TNF, 2AZ5, 2E7A, 2TUN, 2ZJC, 2ZPX, 3ALQ, 3IT8, 3L9J, 4G3Y, 4TSV, 5TSW",NULL
310,Acetylcholine receptor,NULL,Electrophorus electricus (Electric eel):8005,Protein>Receptor,NULL,NULL,NULL
311,Hepatitis C core protein,NULL,Hepatitis C virus:11103,Protein>Others,NULL,NULL,NULL
312,V3 loop of HIV gp120,NULL,Human immunodeficiency virus type 1:11676,Protein>Others,NULL,NULL,NULL
313,"Capsid protein, CP",Coat protein,Cucumber mosaic virus (strain FNY) (CMV):12307,Protein>Others,P69466,1F15,NULL
314,J strain of peanut stunt virus,NULL,Peanut stunt virus (strain J) (PSV):12314,Virus,NULL,NULL,NULL
315,V strain of tomato aspermy virus,NULL,Tomato aspermy virus (TAV):12315,Virus,NULL,NULL,NULL
316,C strain of tomato aspermy virus,NULL,Tomato aspermy virus (TAV):12315,Virus,NULL,NULL,NULL
317,"Actin, alpha skeletal muscle",Alpha-actin-1,Gallus gallus (Chicken):9031,Protein>Others,P68139,1MDU,NULL
318,Lymphotoxin,NULL,Homo sapiens (Human):9606,Protein>Others,NULL,NULL,NULL
319,"β-1,2-linked mannoside",NULL,Candida albicans (Yeast):5476,Organic molecules or materials,NULL,NULL,NULL
320,"Insulin-like growth factor I, IGF-I","Mechano growth factor, MGF
Somatomedin-C",Homo sapiens (Human):9606,Protein>Others,P05019,"1B9G, 1BQT, 1GF1, 1GZR, 1GZY, 1GZZ, 1H02, 1H59, 1IMX, 1PMX, 1TGR, 1WQJ, 2DSP, 2DSQ, 2DSR, 2GF1, 3GF1, 3LRI",NULL
321,Sodium/potassium-transporting ATPase subunit alpha-1,"Na(+)/K(+) ATPase alpha-1 subunit
Sodium pump subunit alpha-1
EC=3.6.3.9",Ovis aries (Sheep):9940,Protein>Enzyme,P04074,NULL,NULL
322,Myoglobin,NULL,Physeter macrocephalus (Sperm whale) (Physeter catodon):9755,Protein>Others,P02185,"101M, 102M, 103M, 104M, 105M, 106M, 107M, 108M, 109M, 110M, 111M, 112M, 1A6G, 1A6K, 1A6M, 1A6N, 1ABS, 1AJG, 1AJH, 1BVC, 1BVD, 1BZ6, 1BZP, 1BZR, 1CH1, 1CH2, 1CH3, 1CH5, 1CH7, 1CH9, 1CIK, 1CIO, 1CO8, 1CO9, 1CP0, 1CP5, 1CPW, 1CQ2, 1DO1, 1DO3, 1DO4, 1DO7, 1DTI, 1DTM, 1DUK, 1DUO, 1DXC, 1DXD, 1EBC, 1F63, 1F65, 1F6H, 1FCS, 1H1X, 1HJT, 1IOP, 1IRC, 1J3F, 1J52, 1JDO, 1JP6, 1JP8, 1JP9, 1JPB, 1JW8, 1L2K, 1LTW, 1LUE, 1MBC, 1MBD, 1MBI, 1MBN, 1MBO, 1MCY, 1MGN, 1MLF, 1MLG, 1MLH, 1MLJ, 1MLK, 1MLL, 1MLM, 1MLN, 1MLO, 1MLQ, 1MLR, 1MLS, 1MLU, 1MOA, 1MOB, 1MOC, 1MOD, 1MTI, 1MTJ, 1MTK, 1MYF, 1MYM, 1MYZ, 1MZ0, 1N9F, 1N9H, 1N9I, 1N9X, 1NAZ, 1O16, 1OBM, 1OFJ, 1OFK, 1SPE, 1SWM, 1TES, 1U7R, 1U7S, 1UFJ, 1UFP, 1V9Q, 1VXA, 1VXB, 1VXC, 1VXD, 1VXE, 1VXF, 1VXG, 1VXH, 1WVP, 1YOG, 1YOH, 1YOI, 2BLH, 2BLI, 2BLJ, 2BW9, 2BWH, 2CMM, 2D6C, 2E2Y, 2EB8, 2EB9, 2EF2, 2EKT, 2EKU, 2EVK, 2EVP, 2G0R, 2G0S, 2G0V, 2G0X, 2G0Z, 2G10, 2G11, 2G12, 2G14, 2JHO, 2MB5, 2MBW, 2MGA, 2MGB, 2MGC, 2MGD, 2MGE, 2MGF, 2MGG, 2MGH, 2MGI, 2MGJ, 2MGK, 2MGL, 2MGM, 2MYA, 2MYB, 2MYC, 2MYD, 2MYE, 2OH8, 2OH9, 2OHA, 2OHB, 2SPL, 2SPM, 2SPN, 2SPO, 2W6W, 2W6X, 2W6Y, 2Z6S, 2Z6T, 2ZSN, 2ZSO, 2ZSP, 2ZSQ, 2ZSR, 2ZSS, 2ZST, 2ZSX, 2ZSY, 2ZSZ, 2ZT0, 2ZT1, 2ZT2, 2ZT3, 2ZT4, 3A2G, 3ASE, 3E4N, 3E55, 3E5I, 3E5O, 3ECL, 3ECX, 3ECZ, 3ED9, 3EDA, 3EDB, 3H57, 3H58, 3K9Z, 3M38, 3M39, 3M3A, 3M3B, 3MN0, 3NML, 3O89, 3OGB, 3SDN, 3U3E, 4FWX, 4FWY, 4FWZ, 4H07, 4H0B, 4IT8, 4MBN, 5MBN",NULL
323,"Thyroid peroxidase, TPO",EC=1.11.1.8,Homo sapiens (Human):9606,Protein>Enzyme,P07202,NULL,NULL
324,34 kDa antigenic protein,NULL,Mycobacterium paratuberculosis:1770,Protein>Others,Q04959 [167-298],NULL,NULL
325,Sequential epitope on GP5,NULL,Porcine reproductive and respiratory syndrome virus (strain KY-35) (PRRSV),Protein>Others,NULL,NULL,NULL
326,"Prcine reproductive and respiratory syndrome virus, RSV",NULL,Porcine reproductive and respiratory syndrome virus (PRRSV):28344,Virus,NULL,NULL,NULL
327,"Prostate-specific antigen, PSA","Kallikrein-3
Semenogelase
Gamma-seminoprotein, Seminin
P-30 antigen",Homo sapiens (Human):9606,Protein>Others,P07288,"2ZCH, 2ZCK, 2ZCL, 3QUM",NULL
328,Imidazol,NULL,None,Organic molecules or materials,NULL,NULL,NULL
329,Variable surface glycoprotein LiTat 1.5,NULL,Trypanosoma brucei gambiense:31285,Protein>Others,E7EDN2,NULL,NULL
330,VSG protein,NULL,Trypanosoma brucei gambiense:31285,Protein>Others,Q9BHJ7,NULL,NULL
331,"Glucan 1,3-beta-glucosidase","Exo-1,3-beta-glucanase",Candida albicans (Yeast):5476,Protein>Others,P29717,"1CZ1, 1EQC, 1EQP, 2PB1, 2PBO, 2PC8, 2PF0, 3N9K, 3O6A",NULL
332,"Transcription factor E2F4, E2F-4",NULL,Homo sapiens (Human):9606,Protein>Others,Q16254,1CF7,NULL
333,Envelope protein,NULL,Japanese encephalitis virus:11072,Protein>Others,P88865,NULL,NULL
334,"Modification methylase TaqI, M.TaqI","Adenine-specific methyltransferase TaqI
EC=2.1.1.72",Thermus aquaticus:271,Protein>Enzyme,P14385,"1AQI, 1AQJ, 1G38, 2ADM, 2IBS, 2IBT, 2IH2, 2IH4, 2IH5, 2JG3, 2NP6, 2NP7",NULL
335,"L3,7,9 lipooligosaccharide, LOS",NULL,Unknown,Organic molecules or materials,NULL,NULL,NULL
336,SPARC,"Basement-membrane protein 40, BM-40
Osteonectin, ON
Secreted protein acidic and rich in cysteine",Homo sapiens (Human):9606,Protein>Others,P09486,"1BMO, 1NUB, 1SRA, 2V53",NULL
337,Genome polyprotein,NULL,Hepatitis C virus genotype 1b (isolate BK) (HCV):11105,Protein>Others,P26663,"1A1Q, 1BT7, 1C2P, 1CSJ, 1CU1, 1GX5, 1GX6, 1JXP, 1NHU, 1NHV, 1NS3, 1OS5, 1QUV, 2AWZ, 2AX0, 2AX1, 2BRK, 2BRL, 2DXS, 2GIQ, 2GIR, 2HAI, 2HWH, 2HWI, 2I1R, 2JC0, 2JC1, 2O5D, 2WCX, 2WHO, 2WRM, 2XWY, 2ZKU, 3BR9, 3BSA, 3BSC, 3CDE, 3CIZ, 3CJ0, 3CJ2, 3CJ3, 3CJ4, 3CJ5, 3CO9, 3CVK, 3CWJ, 3D28, 3D5M, 3E51, 3FQK, 3FRZ, 3G86, 3GYN, 3H2L, 3H59, 3H5S, 3H5U, 3H98, 3IGV, 3MF5, 3UA7, 3UDL, 3VQS, 4A92, 4B6E, 4B6F, 4B71, 4B73, 4B74, 4B75, 4B76, 4DGV, 4DGY, 4EO6, 4EO8, 4KAI, 4KB7, 4KBI, 4KE5, 8OHM",NULL
338,"Capsular polysaccharide, CPS",NULL,Neisseria meningitidis serogroup B:491,Organic molecules or materials,NULL,NULL,NULL
339,"Non-structural protein 2, NSP2","NCVP3
Non-structural RNA-binding protein 35, NS35",Rotavirus A (strain SA11-Ramig G3-Px[x]-Ix-Rx-Cx-Mx-Ax-Nx-Tx-Ex-Hx) (RV-A) (Simian Agent 11 (strain Ramig)):36435,Protein>Others,Q03243,"1L9V, 2R7C, 2R7J, 2R7P, 2R8F, 4G0A, 4G0J",NULL
340,EG95,NULL,Echinococcus granulosus:6210,Protein>Others,Q9GND7,NULL,NULL
341,Phosphotyrosine,NULL,None,Protein>Others,NULL,NULL,NULL
342,"Mycotoxin deoxynivalenol, DON",NULL,Gibberella zeae (Wheat head blight fungus) (Fusarium graminearum):5518,Organic molecules or materials,NULL,NULL,"DON is mainly produced by the fungus Gibberella zeae (Schwein.) Petch (anamorph, Fusarium graminearum Schwabe). At the cellular level, the main toxic effect of DON is inhibition of protein synthesis via binding to ribosomes and interfering with peptidyltransferase. In animals, DON can cause anorexia and emesis (vomiting)."
343,Hirudin variant-2,NULL,Hirudo medicinalis (Medicinal leech):6421,Protein>Others,P09945,"1A2C, 1A46, 1A4W, 1A5G, 1A61, 1B5G, 1DOJ, 1K21, 1K22, 1NRS, 1TMB, 1TMU, 1VZQ, 1W7G, 1WAY, 2C8W, 2C8X, 2C8Y, 2C8Z, 2C90, 2C93, 2R2M, 2ZFQ, 2ZFR, 2ZG0, 2ZHE, 2ZHF, 2ZHW, 3BIU, 3BIV, 3F68, 3HAT, 3HTC, 3P17, 3QTO, 3QTV, 3QWC, 3QX5, 3RLW, 3RLY, 3RM0, 3RM2, 3RML, 3RMM, 3RMN, 3RMO, 3SHA, 3SHC, 3SI3, 3SI4, 3SV2, 3T5F, 3TU7, 3U98, 3U9A, 3UWJ, 4BAO, 4E7R, 4HTC, 4LOY, 4N3L, 4NZE","Hirudin is a potent thrombin-specific protease inhibitor. It forms a stable non-covalent complex with alpha-thrombin, thereby abolishing its ability to cleave fibrinogen."
344,Interleukin-6 receptor,"Interleukin-6 receptor subunit alpha alternative name(s):
IL-6 receptor subunit alpha, IL-6R subunit alpha, IL-6R-alpha, IL-6RA
IL-6R 1
Membrane glycoprotein 80, gp80
CD_antigen=CD126

Interleukin-6 receptor subunit beta alternative name(s):
IL-6 receptor subunit beta, IL-6R subunit beta, IL-6R-beta, IL-6RB
CDw130
Interleukin-6 signal transducer
Membrane glycoprotein 130, gp130
Oncostatin-M receptor subunit alpha
CD_antigen=CD130",Homo sapiens (Human):9606,Protein>Receptor,"P08887, P40189","IL-6R-alpha: 1N26, 1P9M, 2ARW
IL-6R-beta: 1BJ8, 1BQU, 1I1R, 1P9M, 1PVH, 3L5H, 3L5I, 3L5J",NULL
345,Recombinant polyHistidine tagged fusion protein,NULL,Unknown,Protein>Others,NULL,NULL,NULL
346,Trypsin inhibitor 2,"EETI-II
Trypsin inhibitor II",Ecballium elaterium (Jumping cucumber):3679,Protein>Others,P12071,"1H9H, 1H9I, 1W7Z, 2C4B, 2ETI, 2IT7, 2LET",NULL
347,Myc proto-oncogene protein,"Class E basic helix-loop-helix protein 39, bHLHe39
Proto-oncogene c-Myc
Transcription factor p64",Homo sapiens (Human):9606,Protein>Others,P01106,"1A93, 1EE4, 1MV0, 1NKP, 2A93","Participates in the regulation of gene transcription. Binds DNA in a non-specific manner, yet also specifically recognizes the core sequence 5'-CAC[GA]TG-3'. Seems to activate the transcription of growth-related genes."
348,FLAG fusion protein,NULL,Unknown,Protein>Others,NULL,NULL,NULL
349,Catenin beta-1,Beta-catenin,Homo sapiens (Human):9606,Protein>Others,P35222,"1G3J, 1JDH, 1JPW, 1LUJ, 1P22, 1QZ7, 1T08, 1TH1, 2G57, 2GL7, 2Z6H, 3DIW, 3FQN, 3FQR, 3SL9, 3SLA, 3TX7, 4DJS","Key dowstream component of the canonical Wnt signaling pathway. In the absence of Wnt, forms a complex with AXIN1, AXIN2, APC, CSNK1A1 and GSK3B that promotes phosphorylation on N-terminal Ser and Thr residues and ubiquitination of CTNNB1 via BTRC and its subsequent degradation by the proteasome. In the presence of Wnt ligand, CTNNB1 is not ubiquitinated and accumulates in the nucleus, where it acts as a coactivator for transcription factors of the TCF/LEF family, leading to activate Wnt responsive genes."
350,T7·Tag peptide MASMTGGQQMG,NULL,Enterobacteria phage T7 (Bacteriophage T7):10760,Protein>Others,NULL,NULL,NULL
351,Ring-infected erythrocyte surface antigen,NULL,Plasmodium falciparum (isolate FC27 / Papua New Guinea):5837,Protein>Others,P13830,NULL,May disrupt the normal intermolecular interactions of the cytoplasmic domain of band 3 and thereby facilitate the invagination of the red cell membrane which is necessary for the formation of the parasitophorous vacuole.
352,Abciximab,NULL,"Homo sapiens (Human):9606, Mus musculus (Mouse):10090",Protein>Monoclonal antibody,NULL,NULL,"Abciximab, ReoPro (abciximab) T, is the Fab fragment of the chimeric human-murine monoclonal antibody 7E3. Abciximab binds to the glycoprotein (GP) IIb/IIIa receptor of human platelets and inhibits platelet aggregation. Abciximab also binds to the vitronectin (αvβ3) receptor found on platelets and vessel wall endothelial and smooth muscle cells. The chimeric 7E3 antibody is produced by continuous perfusion in mammalian cell culture. The 47,615 dalton Fab fragment is purified from cell culture supernatant by a series of steps involving specific viral inactivation and removal procedures, digestion with papain and column chromatography."
353,"Cholera toxin B protein, CTB","Cholera toxin B subunit
Cholera toxin beta subunit",Vibrio cholerae:666,Protein>Others,Q57193,"1EEI, 1LLR, 1PZJ, 1PZK",NULL
354,"Sialyl Lewis(X), SLX",NULL,Homo sapiens (Human):9606,Organic molecules or materials,NULL,NULL,"Sialyl Lewis(X), also known as sialyl Le(X) and SLe(X), is a tetrasaccharide carbohydrate that is usually attached to O-glycans on the surface of cells. It is known to play a vital role in cell-to-cell recognition processes. Sialyl Lewis(X) is one of the most important blood group antigens and is displayed on the terminus of glycolipids that are present on the cell surface. The Sialyl Lewis(X) determinant, E-selectin ligand carbohydrate structure, is constitutively expressed on granulocytes and monocytes and mediates inflammatory extravasation of these cells. Resting T and B lymphocytes lack its expression and are induced to strongly express sialyl Lewis(X) upon activation. The Sialyl Lewis(X) determinant is expressed preferentially on activated Th1 cells but not on Th2 cells."
355,6' ganglioside GM3,NULL,Homo sapiens (Human):9606,Organic molecules or materials,NULL,NULL,NULL
356,Alpha D-Galactose,NULL,Unknown,Organic molecules or materials,NULL,1HQL,NULL
357,"Gal alpha (1,3)Gal",NULL,Unknown,Organic molecules or materials,NULL,NULL,NULL
358,Immunoglobulin G-binding protein A,"IgG-binding protein A
Staphylococcal protein A (SPA)",Staphylococcus aureus:1280,Protein>Others,P38507,"1BDC, 1BDD, 1EDI, 1EDJ, 1EDK, 1EDL, 1FC2, 1H0T, 1LP1, 1Q2N, 1SS1, 2JWD, 2M5A, 2SPZ, 3MZW, 4NPD, 4NPE, 4NPF","Protein A is a surface protein originally found in the cell wall of the bacterium Staphylococcus aureus. It has been an important immunodiagnostic reagent because of its ability to bind the Fc fragment of a wide range of mammalian immunoglobulins through interaction with the heavy chain. The result of this type of interaction is that, in serum, the bacteria will bind IgG molecules in the wrong orientation on their surface which disrupts opsonization and phagocytosis. Protein A binds with high affinity to human IgG1 and IgG2 as well as mouse IgG2a and IgG2b. Protein A binds with moderate affinity to human IgM, IgA and IgE as well as to mouse IgG3 and IgG1. It does not react with human IgG3 or IgD, nor will it react to mouse IgM, IgA or IgE."
359,E2 protein,NULL,Classical swine fever virus:11096,Protein>Others,Q5U8X5 [690-1062],NULL,NULL
360,Complement decay-accelerating factor,CD_antigen=CD55,Homo sapiens (Human):9606,Protein>Others,P08174,"1H03, 1H04, 1H2P, 1H2Q, 1M11, 1NWV, 1OJV, 1OJW, 1OJY, 1OK1, 1OK2, 1OK3, 1OK9, 1UOT, 1UPN, 2C8I, 2QZD, 2QZF, 2QZH, 3IYP, 3J24","This protein recognizes C4b and C3b fragments that condense with cell-surface hydroxyl or amino groups when nascent C4b and C3b are locally generated during C4 and c3 activation. Interaction of daf with cell-associated C4b and C3b polypeptides interferes with their ability to catalyze the conversion of C2 and factor B to enzymatically active C2a and Bb and thereby prevents the formation of C4b2a and C3bBb, the amplification convertases of the complement cascade."
361,Interleukin-2 (IL-2),"T-cell growth factor, TCGF
INN=Aldesleukin",Homo sapiens (Human):9606,Protein>Others,P60568,"1IRL, 1M47, 1M48, 1M49, 1M4A, 1M4B, 1M4C, 1NBP, 1PW6, 1PY2, 1QVN, 1Z92, 2B5I, 2ERJ, 3INK, 3QAZ, 3QB1","Produced by T-cells in response to antigenic or mitogenic stimulation, this protein is required for T-cell proliferation and other activities crucial to regulation of the immune response. Can stimulate B-cells, monocytes, lymphokine-activated killer cells, natural killer cells, and glioma cells."
362,VHBL plasmid DNA,NULL,None,Nucleic acids,NULL,NULL,NULL
363,Mutalysin-II (mut-II),NULL,Lachesis muta muta (Bushmaster):8753,Protein>Others,NULL,NULL,Mut-II is a 22.5 kDa single chain protein with broad substrate specificity and traces of hemorrhagic effects.
364,Caprine arthritis encephalitis virus (strain 63) (CAEV-63),NULL,Caprine arthritis encephalitis virus (strain 63) (CAEV-63):11662,Virus,NULL,NULL,NULL
365,Sialic acid-binding Ig-like lectin 9 (Siglec-9),Protein FOAP-9,Homo sapiens (Human):9606,Protein>Others,Q9Y336,NULL,"Putative adhesion molecule that mediates sialic-acid dependent binding to cells. Preferentially binds to alpha-2,3- or alpha-2,6-linked sialic acid. The sialic acid recognition site may be masked by cis interactions with sialic acids on the same cell surface."
366,Sphingomyelin phosphodiesterase D LiSicTox-alphaIA1bi,"Dermonecrotic protein 1
LiD1
LiP1, P1
Sphingomyelin phosphodiesterase D 1, SMD 1, SMase D 1, Sphingomyelinase D 1
EC=3.1.4.41
recLiD1",Loxosceles intermedia (Spider):58218,Protein>Others,P0CE81,NULL,NULL
367,Kit ligand,"Mast cell growth factor, MGF
Stem cell factor, SCF
c-Kit ligand",Homo sapiens (Human):9606,Protein>Others,P21583,"1EXZ, 1SCF, 2E9W","Kit ligand plays an essential role in the regulation of cell survival and proliferation, hematopoiesis, stem cell maintenance, gametogenesis, mast cell development, migration and function, and in melanogenesis. KITLG/SCF binding can activate several signaling pathways."
368,26-amino acid Bim peptide,NULL,None,Protein>Others,NULL,NULL,NULL
369,Sabutoclax,NULL,None,Inorganic molecules or materials,NULL,NULL,"Sabutoclax (""BI97C1"") is a potent small molecule antagonist of the Mcl-1-BH3 interaction."
370,Mouse IgG Fc,NULL,Mus musculus (Mouse):10090,Protein>Others,NULL,NULL,NULL
371,Carcinoembryonic antigen-related cell adhesion molecule 5,"Carcinoembryonic antigen, CEA
Meconium antigen 100
CD_antigen=CD66e",Homo sapiens (Human):9606,Protein>Others,P06731,"2QSQ, 2QST,2VER, 1E07",NULL
372,MJ33,1-hexadecyl-3-trifluoroethylglycero-sn-2-phosphomethanol,Unknown,Inorganic molecules or materials,NULL,NULL,MJ33 is a kind of inhibitor against phospholipases A2.
373,"Pseudorabies virus, PrV",NULL,Suid herpesvirus 1 (Pseudorabies virus):10345,Virus,NULL,NULL,NULL
374,"Porcine reproductive and respiratory syndrome virus, PRRSV",NULL,Porcine reproductive and respiratory syndrome virus (PRRSV):28344,Virus,NULL,NULL,NULL
375,Peptide SP1 (LDLERDARVRAERNANEMSI) of Paramyosin,"Paramyosin alternative name(s):
Antigen B, AgB",Taenia solium (Pork tapeworm):6204,Protein>Others,P35418 [34-53],NULL,"Paramyosin is a major structural component of many thick filaments isolated from invertebrate muscles. It is a prominent antigen in human cysticercosis, may have a role as a modulator of the host immune response. It is able to bind collagen and has complement inhibitor activity."
376,Peptide SP2 (LDELSGTSSQTHDAIRRKDME) of Paramyosin,"Paramyosin alternative name(s):
Antigen B, AgB",Taenia solium (Pork tapeworm):6204,Protein>Others,P35418 [62-81],NULL,"Paramyosin is a major structural component of many thick filaments isolated from invertebrate muscles. It is a prominent antigen in human cysticercosis, may have a role as a modulator of the host immune response. It is able to bind collagen and has complement inhibitor activity."
377,Protein CYR61,"CCN family member 1
Cysteine-rich angiogenic inducer 61
Insulin-like growth factor-binding protein 10, IBP-10, IGF-binding protein 10, IGFBP-10
Protein GIG1",Homo sapiens (Human):9606,Protein>Others,O00622,NULL,"CYR61 promotes cell proliferation, chemotaxis, angiogenesis and cell adhesion."
378,"Integrin alpha-M, integrin αM","Cell surface glycoprotein MAC-1 subunit alpha
CR-3 alpha chain
Leukocyte adhesion receptor MO1
Neutrophil adherence receptor
CD11 antigen-like family member B
CD_antigen=CD11b",Homo sapiens (Human):9606,Protein>Receptor,P11215,"1BHO, 1BHQ, 1IDN, 1IDO, 1JLM, 1M1U, 1MF7, 1N9Z, 1NA5, 2LKE, 2LKJ, 3Q3G, 3QA3",NULL
379,Nuclear factor erythroid 2-related factor 2,"NF-E2-related factor 2, NFE2-related factor 2
Nuclear factor, erythroid derived 2, like 2",Mus musculus (Mouse):10090,Protein>Others,Q60795,"1X2R, 2DYH",Transcription activator that binds to antioxidant response (ARE) elements in the promoter regions of target genes. Important for the coordinated up-regulation of genes in response to oxidative stress. May be involved in the transcriptional activation of genes of the beta-globin cluster by mediating enhancer activity of hypersensitive site 2 of the beta-globin locus control region.
380,Aspartic protease Bla g 2,"Allergen Bla g II
Allergen=Bla g 2
EC=3.4.23.-",Blattella germanica (German cockroach) (Blatta germanica):6973,Protein>Others,P54958,"1YG9, 2NR6, 3LIZ",Bla g 2 functions as a digestive enzyme in the cockroach.
381,Anfluenza A virus strain H2N2,NULL,H2N2 subtype:114729,Virus,NULL,NULL,NULL
382,Anfluenza A virus strain H1N1,NULL,H1N1 subtype:114727,Virus,NULL,NULL,NULL
383,Influenza A virus (strain A/Texas/1/1977 H3N2),NULL,Influenza A virus (strain A/Texas/1/1977 H3N2):444318,Virus,NULL,NULL,NULL
384,Swine-origin influenza virus A/2009,NULL,Swine-origin influenza virus A/2009,Virus,NULL,NULL,NULL
385,"Interleukin-8, IL-8","C-X-C motif chemokine 8
Emoctakin
Granulocyte chemotactic protein 1, GCP-1
Monocyte-derived neutrophil chemotactic factor, MDNCF
Monocyte-derived neutrophil-activating peptide, MONAP
Neutrophil-activating protein 1, NAP-1
Protein 3-10C
T-cell chemotactic factor",Homo sapiens (Human):9606,Protein>Others,P10145,"1ICW, 1IKL, 1IKM, 1IL8, 1ILP, 1ILQ, 1QE6, 1ROD, 2IL8, 3IL8",NULL
386,P. brasiliensis 75-kDa protein,NULL,Paracoccidioides brasiliensis (strain Pb18):502780,Protein>Others,NULL,NULL,A secreted 75 kDa protein from P. brasiliensis with phosphatase activity.
387,Hemagglutinin glycoprotein,NULL,Rinderpest virus (strain RBOK) (RDV):36409,Protein>Others,P41355,3PWU,Hemagglutinin glycoprotein attaches the virus to cell receptors and thereby initiating infection. Binding of H protein to the receptor induces a conformational change that allows the F protein to trigger virion/cell membranes fusion. Down-regulates human MCP/CD46 cell surface expression.
